"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /orders/addItem",148420,1700,1900,1900,2000,2100,2200,2400,2500,3400
"POST /orders/checkout",36871,6000,6900,7500,7800,8900,10000,14000,15000,40000
"POST /orders/create",179188,540,710,840,920,1200,1600,2300,3500,59000
"GET /orders/find/",48902,1900,2000,2000,2100,2200,2300,2400,2600,3400
"DELETE /orders/remove",85051,570,720,820,880,1000,1200,1400,1500,2300
"DELETE /orders/removeItem/",42873,1800,1900,1900,2000,2100,2200,2300,2400,3000
"POST /redis/stock/item/create",304941,380,540,680,780,1000,1200,1800,2700,49000
"POST /redis/users/create",31381,450,970,1300,1600,2500,4000,8500,13000,76000
"POST /stock/add",303317,260,350,430,490,670,800,940,1100,2200
"GET /stock/item/availability",19686,630,1100,1700,1900,2600,4000,6900,11000,79000
"POST /users/credit/add/",21120,1600,2100,2500,2800,4300,6800,12000,16000,81000
"Total",1221750,520,820,1200,1600,2000,2400,5900,7600,81000